objectid,filename,title,publisher,creator,date,description,format,genre,medium,subject,location,latitude,longitude,language,is_part_of,collection,source,object_location,reference_url,rights,rightsstatement,parentid
w_loring_014,loring_abyssinia.pdf,The Egyptian Campaign in Abyssinia,Blackwood's Magazine,William Wing Loring,1877,Article written anonymously by William Wing Loring that details the Egyptian Army's campaign against Ethiopia. Also includes the account of Thomas Dickinson Johnson and his capture by the Ethiopians.,application/pdf,,article,William Wing Loring; James Alfred Dennison; Thomas Dickinson Johnson; Charles Chaille-Long,,,,English,,,,,https://babel.hathitrust.org/cgi/pt?id=nyp.33433115421160&seq=295,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
w_loring_015,loring_civilian2.jpg,Loring,,unknown,,"Photograph of William Wing Loring wearing civilian clothes, most likely taken in a studio in America before 1870.",image/jpg,carte-de-visite,photograph,William Wing Loring,,,,,,,,,https://www.facebook.com/photo?fbid=596323357820708&set=a.334944400625273,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
j_morgan,,James Morris Morgan,,,,,compound_object,,,James Morris Morgan,,,,,,,,,,,,
j_morgan_001,Recollections_of_a_Rebel_Reefer.pdf,Recollections of a Rebel Reefer,Houghton Mifflin Co.,James Morris Morgan,1917,Book written by James Morris Morgan that details his life from his service in the Confederate Army to his role in the Egyptian Army.,application/pdf,memoir,book,James Morris Morgan; William Wing Loring; Charles Pomeroy Stone; Henry Hopkins Sibley; Alexander Welch Reynolds; Frank A. Reynolds; Thaddeus Phelps Mott; Erastus Sparrow Purdy; Charles Chaille-Long; Alexander Macomb Mason; Thomas Grimke Rhett; Vanderbilt Allen; Walter Hanson Jenifer; Beverly Kennon; William H. Ward; William P. A. Campbell; William W. Dunlap; Cornelius E. Hunt; Edmund Parys,,,,English,,,,,https://books.google.com/books/about/Recollections_of_a_Rebel_Reefer.html?id=tDZ3AAAAMAAJ&source=kp_book_description,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,j_morgan
j_morgan_002,morgan_young.jpg,"Midshipman James Morris Morgan, C.S.N.",Houghton Mifflin Co.,unknown,1860,"Photograph of James Morris Morgan possibly wearing United States Naval Academy uniform from his enrollment prior to the Civil War, taken in a studio in America.",image/jpg,portrait,photograph,James Morris Morgan ,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,j_morgan
j_morgan_003,morgan_civil_war.jpg,Midshipman Morgan,Houghton Mifflin Co.,unknown,1863,Photograph of James Morris Morgan wearing Confederate States Naval uniform taken in a studio.,image/jpg,portrait,photograph,James Morris Morgan,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,j_morgan
j_morgan_004,morgan_egypt.jpg,Lieutenant-Colonel Morgan,Houghton Mifflin Co.,unknown,1870,"Photograph of James Morris Morgan wearing Egyptian Army Full Dress uniform, taken in 1870.",image/jpg,portrait,photograph,James Morris Morgan,"Cairo, Egypt",30.033333,31.233334,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,j_morgan
j_morgan_005,morgan_older.jpeg,James Morris Morgan,Houghton Mifflin Co.,unknown,1918,Photograph of James Morris Morgan wearing civilian clothes.,image/jpg,portrait,photograph,James Morris Morgan,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,j_morgan
j_morgan_006,morgan_civilian.jpg,untitled,,unknown,,Photograph of James Morris Morgan wearing civilian clothes.,image/jpg,portrait,photograph,James Morris Morgan,"Washington, D.C.",38.8951,-77.0363,,,,,,https://www.raptisrarebooks.com/product/recollections-of-a-rebel-reefer-james-morris-morgan-first-edition-signed/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,j_morgan
j_morgan_007,morgan_card.jpg,untitled,,unknown,1871,Card issued by the Khedive allowing James Morris Morgan military leave in 1871 to visit France.,image/jpg,,card,James Morris Morgan,"Alexandria, Egypt",31.2001,29.9187,,,,,,https://finding-aids.lib.unc.edu/catalog/00524,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,j_morgan
